body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin,capacity_limit_active_steps,capacity_limit_binding_steps,contact_approach_steps,contact_hold_steps,contact_loss_events,contact_completed_stages,contact_timeout_before_first_touch,contact_timeout_after_touch,capacity_approach_binding_steps,capacity_hold_binding_steps,contact_hold_control_steps,contact_normal_force_p25,contact_normal_force_p50,contact_dwell_steps_p50,contact_hold_entries,contact_hold_exits,contact_reference_hold_steps,local_proprioceptive_control_steps,transition_proposals,transition_confirmations,transition_expirations,condition,innovation_threshold,first_failed_stage,false_terminal_accept,joint_boundary_violation,estimate_accepts,estimate_rejects,estimate_reasons
arm5_distal_heavy,push_to_zone,severe,35003,capability_compiled,False,False,0.0,0.24489919150333156,0.24489919150333156,1.981921902270181e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.8251663093168617,0.28774408477833857,59.51746234859455,0,0,0,0,False,False,19,13,6,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,13,122,"{""high_innovation"": 122}"
arm5_distal_heavy,push_to_zone,severe,35004,capability_compiled,False,False,0.3333333333333333,0.21744172035655157,0.21744172035655157,0.0032290226114753294,720,256,0,True,stage_timeout,2ebd5a46a509772b,0.8888636819809532,0.29439188833580654,66.9117909652905,0,0,0,0,False,False,88,21,67,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,44,81,13,0,0,1,0,0,0,0.5049158399171996,1.0033507693555395,5.0,0,0,0,0,0,0,0,threshold_0.05,0.05,contact,False,False,41,215,"{""high_innovation"": 215}"
arm5_distal_heavy,push_to_zone,severe,35005,capability_compiled,False,False,0.0,0.24589478889561484,0.24589478889561484,1.625775874056863e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.7601062216007262,0.28006391355835397,61.40772998866566,0,0,0,0,False,False,25,16,9,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,13,122,"{""high_innovation"": 122}"
arm5_distal_heavy,push_to_zone,severe,35006,capability_compiled,True,True,1.0,0.024705683919439846,0.024705683919439846,0.0021375176456757536,720,720,0,False,,2ebd5a46a509772b,0.9708325944785983,0.26000854343463997,69.34092810789835,0,0,0,0,True,True,66,22,44,321,0.0,0.8317757009345794,39,0.1982693572284638,0.8155788082448656,0.2620392367773882,0.9196906536442848,0,0,44,71,18,1,0,0,0,0,0,0.4640880155755864,0.8400116664158526,3.0,0,0,0,0,0,0,0,threshold_0.05,0.05,,False,False,132,588,"{""high_innovation"": 588}"
arm5_distal_heavy,push_to_zone,severe,35007,capability_compiled,False,False,0.6666666666666666,0.0230472692431162,0.0230472692431162,0.30229419191534396,720,552,0,True,stage_timeout,2ebd5a46a509772b,0.806250778120206,0.2550366380183384,65.03120837498201,0,0,0,0,True,False,53,14,39,330,0.0,0.8606060606060606,35,0.2215957194401463,0.7911176763788128,0.25560779248541154,0.8081497876145347,0,0,45,75,18,1,0,0,0,0,0,0.5542201354178689,1.064350635924662,4.0,0,0,0,0,0,0,0,threshold_0.05,0.05,push,False,False,95,457,"{""high_innovation"": 457}"
arm5_distal_heavy,push_to_zone,severe,35008,capability_compiled,True,True,1.0,0.00522332343125813,0.00522332343125813,0.0004807152833574594,720,720,0,False,,2ebd5a46a509772b,0.8422484864009858,0.25315590157033596,66.80583348582051,0,0,0,0,True,True,55,19,36,319,0.0,0.8150470219435737,36,0.2192565149072565,0.7932191288221985,0.2523223651665023,0.789776551987249,0,0,48,64,17,1,0,0,0,0,0,0.5410816323362889,0.9893614683216607,3.0,0,0,0,0,0,0,0,threshold_0.05,0.05,,False,False,146,574,"{""high_innovation"": 574}"
arm5_weak_actuator,push_to_zone,severe,35001,capability_compiled,False,False,0.0,0.19890415978031717,0.19890415978031717,8.817227002764177e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.4989090761055115,0.2347322675276385,155.62783356797738,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_weak_actuator,push_to_zone,severe,35002,capability_compiled,False,False,0.0,0.1979731270443295,0.1979731270443295,5.0768914426856134e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.5216140466049954,0.23652836902858865,154.90367556384052,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_weak_actuator,push_to_zone,severe,35003,capability_compiled,False,False,0.0,0.2125332277733928,0.2125332277733928,3.700639562625041e-08,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.5220144538953804,0.23883952898324445,150.97083402328943,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
arm5_weak_actuator,push_to_zone,severe,35004,capability_compiled,False,False,0.0,0.19505250449537787,0.19505250449537787,6.51914247860667e-11,720,135,0,True,stage_timeout,2ebd5a46a509772b,0.528001721971727,0.2389574707989823,150.04986541287383,0,0,0,0,False,False,0,0,0,0,0.0,0.0,0,0.0,0.0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,threshold_0.05,0.05,approach,False,False,1,134,"{""high_innovation"": 134}"
