body,task,disturbance,seed,controller,success,workflow_completed,stage_pass_rate,final_relation_error,final_object_error,final_object_speed,deadline_steps,steps_used,recoveries,localized_failure,exception_type,contract_hash,min_joint_limit_margin,final_min_jacobian_singular_value,energy,reflex_steps,predictive_checks,predictive_rejections,predictive_accepts,push_stage_reached,push_stage_sensed_stable,observer_checks,observer_rejections,observer_accepts,push_steps,push_torque_saturation_fraction,push_contact_fraction,push_contact_losses,push_progress,push_mean_tangent_force,push_min_jacobian_singular_value,push_min_joint_limit_margin,condition,first_failed_stage,safe
arm5_reference,push_to_zone,delay_0_noise_0,27001,capability_compiled,False,False,0.6666666666666666,0.03417870742205137,0.03417870742205137,0.21023228021439636,720,500,0,True,stage_timeout,2ebd5a46a509772b,0.5617337876269692,0.21668211723019157,19.58518908661833,0,0,0,0,True,True,36,7,29,330,0.0,0.8878787878787879,28,0.19901843402331063,0.6792763278574878,0.21711702121415583,0.5622330069273485,delay_0_noise_0,push,True
arm5_reference,push_to_zone,delay_0_noise_0,27002,capability_compiled,True,True,1.0,0.007664208555541647,0.007664208555541647,0.00157409886390066,720,720,0,False,,2ebd5a46a509772b,0.5708152895264873,0.2099344610732392,18.785668722394522,0,0,0,0,True,True,28,4,24,330,0.0,0.9121212121212121,18,0.194579971794346,0.6507820522710015,0.20031053437007657,0.4401724408304175,delay_0_noise_0,,True
arm5_reference,push_to_zone,delay_0_noise_0,27003,capability_compiled,False,False,0.6666666666666666,0.026620099802471892,0.026620099802471892,0.13449103361020126,720,483,0,True,stage_timeout,2ebd5a46a509772b,0.5767848505228841,0.21421836857180193,17.800810311196358,0,0,0,0,True,True,29,5,24,330,0.0,0.8757575757575757,30,0.18229051563383372,0.71089607743418,0.21437779703096355,0.5252030162041992,delay_0_noise_0,push,True
arm5_reference,push_to_zone,delay_0_noise_0,27004,capability_compiled,False,False,0.6666666666666666,0.02042178682165896,0.02042178682165896,0.08566826352153106,720,489,0,True,stage_timeout,2ebd5a46a509772b,0.48799931301073807,0.20105866292903588,17.808617349875846,0,0,0,0,True,True,34,7,27,330,0.0,0.9212121212121213,20,0.1928222730632539,0.6830394118278357,0.2011227930976368,0.47151015414825226,delay_0_noise_0,push,True
arm5_reference,push_to_zone,delay_0_noise_0,27005,capability_compiled,False,False,0.6666666666666666,0.07103509201587792,0.07103509201587792,0.04686432320056225,720,494,0,True,stage_timeout,2ebd5a46a509772b,0.3686055749326327,0.194556402496814,16.33394818208995,0,0,0,0,True,False,31,7,24,330,0.0,0.9515151515151515,9,0.14061673823979404,0.5434285359882176,0.19460866553935904,0.3496016251215006,delay_0_noise_0,push,True
arm5_reference,push_to_zone,delay_0_noise_0,27006,capability_compiled,True,True,1.0,0.01011778485693443,0.01011778485693443,0.0013333532736780034,720,720,0,False,,2ebd5a46a509772b,0.6651299051384338,0.21886330931076067,20.025663226466342,0,0,0,0,True,True,25,4,21,321,0.0,0.8878504672897196,24,0.20171110067676265,0.6903929916206274,0.208339507985822,0.5178205442450259,delay_0_noise_0,,True
arm5_reference,push_to_zone,delay_0_noise_0,27007,capability_compiled,False,False,0.6666666666666666,0.01994366711161974,0.01994366711161974,0.04271987830460264,720,492,0,True,stage_timeout,2ebd5a46a509772b,0.5040507643453687,0.20320409672525047,17.696732959198897,0,0,0,0,True,True,32,5,27,330,0.0,0.9121212121212121,18,0.1938437130688641,0.6189030715549049,0.20326615611762264,0.44116353501935723,delay_0_noise_0,push,True
arm5_reference,push_to_zone,delay_0_noise_0,27008,capability_compiled,True,True,1.0,0.010329034004463946,0.010329034004463946,0.0014533695668279133,720,720,0,False,,2ebd5a46a509772b,0.6074030170143199,0.21592730594796808,18.93964479914138,0,0,0,0,True,True,31,5,26,322,0.0,0.8788819875776398,28,0.1965429078424062,0.6917119065403943,0.20908155449536348,0.5192452809918682,delay_0_noise_0,,True
arm5_reference,push_to_zone,delay_0_noise_0,27009,capability_compiled,True,True,1.0,0.01821345640523587,0.01821345640523587,0.0011059983524942336,720,720,0,False,,2ebd5a46a509772b,0.7285525651451428,0.23031975949953135,18.343547146766614,0,0,0,0,True,True,33,6,27,291,0.0,0.8865979381443299,22,0.18405951378714383,0.695313521202244,0.22116257791342786,0.5444586073004452,delay_0_noise_0,,True
arm5_reference,push_to_zone,delay_0_noise_0,27010,capability_compiled,True,True,1.0,0.010661145053819954,0.010661145053819954,0.0013235728802569486,720,720,0,False,,2ebd5a46a509772b,0.6351180570996946,0.2171284925095536,18.175077400037864,0,0,0,0,True,True,30,6,24,312,0.0,0.9134615384615384,18,0.1879560167365868,0.6352535049605215,0.2061382308272737,0.47492963788379594,delay_0_noise_0,,True
